"word","tfidf","tf"
"the museum",0.57836873190621,40
"of dali",0.396948425840817,13
"the exhibit",0.384254740326387,9
"look at",0.356212168341783,11
"to see",0.355366316396582,13
"this museum",0.344840616404738,14
"museum is",0.344492934413108,10
"the art",0.34155976917901,8
"to get",0.323829243947076,10
"the dali",0.317486244656105,11
"not worth",0.310043640971797,9
"lot of",0.305344942954474,10
"a guid",0.298864798031634,7
"museum in",0.294335595618138,8
"the work",0.294335595618138,8
"the ticket",0.293851235725843,5
"too mani",0.279658621759438,6
"museum has",0.276474431407815,7
"the place",0.276474431407815,7
"you will",0.276474431407815,7
"a lot",0.275594347530486,8
"his art",0.258284120979512,5
"to take",0.257543646165871,7
"dali museum",0.256169826884258,6
"museum and",0.256169826884258,6
"worth the",0.256169826884258,6
"part of",0.236978084063842,6
"the build",0.236978084063842,6
"the crowd",0.236978084063842,6
"the experi",0.236978084063842,6
"to look",0.236978084063842,6
"visit this",0.236978084063842,6
"want to",0.236978084063842,6
"ticket offic",0.235080988580674,4
"audio guid",0.233048851466198,5
"from barcelona",0.233048851466198,5
"inform about",0.233048851466198,5
"see the",0.233048851466198,5
"the onli",0.233048851466198,5
"to stand",0.233048851466198,5
"visit the",0.233048851466198,5
"way to",0.233048851466198,5
"a great",0.213474855736882,5
"an hour",0.213474855736882,5
"ani of",0.213474855736882,5
"around the",0.213474855736882,5
"enter the",0.213474855736882,5
"his work",0.213474855736882,5
"mani peopl",0.213474855736882,5
"of art",0.213474855736882,5
"time and",0.213474855736882,5
"to appreci",0.213474855736882,5
"to go",0.213474855736882,5
"to visit",0.213474855736882,5
"in line",0.212792171991292,3
"lover of",0.212792171991292,3
"a small",0.20662729678361,4
"becaus of",0.20662729678361,4
"guid book",0.20662729678361,4
"seem to",0.20662729678361,4
"stand in",0.20662729678361,4
"art and",0.186439081172959,4
"dali and",0.186439081172959,4
"dali is",0.186439081172959,4
"dali work",0.186439081172959,4
"experi was",0.186439081172959,4
"guid or",0.186439081172959,4
"guid tour",0.186439081172959,4
"hour to",0.186439081172959,4
"museum for",0.186439081172959,4
"museum to",0.186439081172959,4
"need to",0.186439081172959,4
"no guid",0.186439081172959,4
"on display",0.186439081172959,4
"other artist",0.186439081172959,4
"peopl who",0.186439081172959,4
"place was",0.186439081172959,4
"the money",0.186439081172959,4
"the world",0.186439081172959,4
"to dali",0.186439081172959,4
"visit to",0.186439081172959,4
"we arriv",0.186439081172959,4
